FIPStxt,Stabr,area_name,Metro_2013, Civilian_labor_force_2000 , Employed_2000 , Unemployed_2000 ,Unemployment_rate_2000, Civilian_labor_force_2001 , Employed_2001 , Unemployed_2001 ,Unemployment_rate_2001, Civilian_labor_force_2002 , Employed_2002 , Unemployed_2002 ,Unemployment_rate_2002, Civilian_labor_force_2003 , Employed_2003 , Unemployed_2003 ,Unemployment_rate_2003, Civilian_labor_force_2004 , Employed_2004 , Unemployed_2004 ,Unemployment_rate_2004, Civilian_labor_force_2005 , Employed_2005 , Unemployed_2005 ,Unemployment_rate_2005, Civilian_labor_force_2006 , Employed_2006 , Unemployed_2006 ,Unemployment_rate_2006, Civilian_labor_force_2007 , Employed_2007 , Unemployed_2007 ,Unemployment_rate_2007, Civilian_labor_force_2008 , Employed_2008 , Unemployed_2008 ,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009, Civilian_labor_force_2010 , Employed_2010 , Unemployed_2010 ,Unemployment_rate_2010, Civilian_labor_force_2011 , Employed_2011 , Unemployed_2011 ,Unemployment_rate_2011, Civilian_labor_force_2012 , Employed_2012 , Unemployed_2012 ,Unemployment_rate_2012, Civilian_labor_force_2013 , Employed_2013 , Unemployed_2013 ,Unemployment_rate_2013, Civilian_labor_force_2014 , Employed_2014 , Unemployed_2014 ,Unemployment_rate_2014, Civilian_labor_force_2015 , Employed_2015 , Unemployed_2015 ,Unemployment_rate_2015, Civilian_labor_force_2016 , Employed_2016 , Unemployed_2016 ,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018, Civilian_labor_force_2019 , Employed_2019 , Unemployed_2019 ,Unemployment_rate_2019,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
0,US,United States,,"142,601,667","136,904,680","5,696,987",4,"143,786,778","136,978,129","6,808,649",4.7,"144,839,532","136,455,911","8,383,621",5.8,"145,660,181","136,944,540","8,715,641",6,"146,725,005","138,614,038","8,110,967",5.5,"148,012,786","140,462,401","7,550,385",5.1,"150,223,730","143,262,292","6,961,438",4.6,"152,191,286","145,156,247","7,035,039",4.6,"153,761,298","144,860,522","8,900,776",5.8,"153,825,791","139,594,849","14,230,942",9.3,"154,270,726","139,408,198","14,862,528",9.6,"154,606,324","140,765,822","13,840,502",9,"155,119,209","142,600,412","12,518,797",8.1,"155,485,689","144,018,150","11,467,539",7.4,"155,957,310","146,338,323","9,618,987",6.2,"156,798,981","148,515,185","8,283,796",5,"158,626,135","150,902,618","7,723,517",4.9,"160,158,564","153,183,461","6,975,103",4.4,"161,389,026","155,102,319","6,286,707",3.9,"163,100,055","157,115,247","5,984,808",3.7,"61,937",
1000,AL,Alabama,,"2,133,223","2,035,594","97,629",4.6,"2,115,401","2,006,884","108,517",5.1,"2,106,161","1,981,919","124,242",5.9,"2,120,225","1,992,732","127,493",6,"2,136,458","2,014,889","121,569",5.7,"2,146,025","2,049,791","96,234",4.5,"2,167,809","2,080,233","87,576",4,"2,175,612","2,089,127","86,485",4,"2,176,489","2,053,477","123,012",5.7,"2,162,999","1,924,747","238,252",11,"2,196,042","1,964,559","231,483",10.5,"2,202,670","1,990,413","212,257",9.6,"2,176,337","2,003,290","173,047",8,"2,174,000","2,017,043","156,957",7.2,"2,160,842","2,014,290","146,552",6.8,"2,161,481","2,030,005","131,476",6,"2,182,558","2,055,251","127,307",5.8,"2,186,869","2,090,373","96,496",4.4,"2,216,627","2,130,845","85,782",3.9,"2,241,747","2,174,483","67,264",3,"49,881",100
,,Birmingham,,"411,295","396,020","15,275",7,"409,978","393,446","16,532",7,"407,792","388,018","19,774",9,"409,317","388,426","20,891",9,"411,860","391,695","20,165",9,"412,058","395,043","17,015",8,"415,144","399,725","15,419",7,"414,386","399,646","14,740",7,"412,771","392,167","20,604",9,"406,791","366,026","40,765",19,"420,892","380,737","40,155",17,"423,866","387,643","36,223",16,"421,969","393,178","28,791",12,"422,409","396,480","25,929",11,"419,339","394,905","24,434",11,"419,889","397,395","22,494",10,"422,513","399,954","22,559",10,"423,251","406,399","16,852",8,"430,427","415,673","14,754",7,"434,694","423,078","11,616",5,"130,676",262
2000,AK,Alaska,,"319,511","299,146","20,365",6.4,"321,393","300,731","20,662",6.4,"326,401","302,580","23,821",7.3,"331,669","305,723","25,946",7.8,"336,743","311,643","25,100",7.5,"344,559","320,811","23,748",6.9,"349,691","326,542","23,149",6.6,"350,785","328,579","22,206",6.3,"356,109","332,285","23,824",6.7,"359,647","331,792","27,855",7.7,"361,913","333,416","28,497",7.9,"365,913","338,161","27,752",7.6,"365,519","339,474","26,045",7.1,"365,292","339,801","25,491",7,"365,383","340,302","25,081",6.9,"363,270","339,619","23,651",7,"361,791","336,979","24,812",6.9,"359,299","334,449","24,850",6.9,"352,662","329,901","22,761",6.5,"347,779","326,430","21,349",6.1,"74,912",100
2020,AK,Anchorage,1,"140,602","133,453","7,149",5.1,"141,933","134,782","7,151",5,"143,887","135,505","8,382",5.8,"145,428","136,227","9,201",6.3,"146,277","137,591","8,686",5.9,"149,028","140,840","8,188",5.5,"151,530","143,482","8,048",5.3,"151,051","143,336","7,715",5.1,"152,111","143,835","8,276",5.4,"153,834","143,806","10,028",6.5,"157,923","147,539","10,384",6.6,"159,006","149,542","9,464",6,"158,380","149,897","8,483",5.4,"158,401","150,169","8,232",5.2,"158,075","149,849","8,226",5.2,"156,755","148,856","7,899",5,"155,274","146,720","8,554",5.5,"153,108","144,255","8,853",5.8,"149,431","141,363","8,068",5.4,"146,949","139,526","7,423",5.1,"82,113",109.6
4000,AZ,Arizona,,"2,509,883","2,410,581","99,302",4,"2,585,284","2,461,498","123,786",4.8,"2,679,421","2,516,006","163,415",6.1,"2,736,000","2,578,854","157,146",5.7,"2,796,269","2,655,428","140,841",5,"2,883,226","2,748,372","134,854",4.7,"2,990,441","2,864,385","126,056",4.2,"3,034,016","2,917,117","116,899",3.9,"3,104,863","2,913,903","190,960",6.2,"3,128,110","2,817,577","310,533",9.9,"3,089,705","2,769,454","320,251",10.4,"3,037,017","2,748,470","288,547",9.5,"3,028,878","2,776,349","252,529",8.3,"3,029,425","2,794,697","234,728",7.7,"3,099,884","2,889,380","210,504",6.8,"3,163,828","2,972,014","191,814",6,"3,236,294","3,063,017","173,277",5.4,"3,321,564","3,160,248","161,316",4.9,"3,422,583","3,260,518","162,065",4.7,"3,551,260","3,384,504","166,756",4.7,"59,079",100
4013,AZ,Phoenix,1,"1,598,108","1,546,411","51,697",3.2,"1,655,742","1,586,141","69,601",4.2,"1,715,246","1,619,099","96,147",5.6,"1,749,197","1,658,323","90,874",5.2,"1,789,725","1,710,158","79,567",4.4,"1,856,076","1,780,954","75,122",4,"1,920,575","1,851,719","68,856",3.6,"1,945,290","1,881,907","63,383",3.3,"1,970,741","1,864,614","106,127",5.4,"1,966,607","1,787,374","179,233",9.1,"1,919,590","1,736,764","182,826",9.5,"1,894,633","1,732,510","162,123",8.6,"1,895,634","1,757,601","138,033",7.3,"1,907,171","1,781,737","125,434",6.6,"1,961,997","1,848,119","113,878",5.8,"2,020,413","1,916,900","103,513",5,"2,077,868","1,983,062","94,806",4.6,"2,141,365","2,052,091","89,274",4.2,"2,217,163","2,127,021","90,142",4.1,"2,310,503","2,217,656","92,847",4,"65,234",110.4
5000,AR,Arkansas,,"1,258,301","1,204,695","53,606",4.3,"1,253,456","1,191,273","62,183",5,"1,270,997","1,201,422","69,575",5.5,"1,271,696","1,196,299","75,397",5.9,"1,300,318","1,226,123","74,195",5.7,"1,345,913","1,275,448","70,465",5.2,"1,365,410","1,294,906","70,504",5.2,"1,369,284","1,296,572","72,712",5.3,"1,375,257","1,300,017","75,240",5.5,"1,358,911","1,252,399","106,512",7.8,"1,353,338","1,242,496","110,842",8.2,"1,362,682","1,249,514","113,168",8.3,"1,342,753","1,241,127","101,626",7.6,"1,322,576","1,226,859","95,717",7.2,"1,316,506","1,237,248","79,258",6,"1,331,377","1,264,455","66,922",5,"1,339,525","1,286,419","53,106",4,"1,347,015","1,297,215","49,800",3.7,"1,353,305","1,303,995","49,310",3.6,"1,362,642","1,314,290","48,352",3.5,"47,094",100
5119,AR,Little Rock,1,"184,110","177,186","6,924",3.8,"182,147","174,258","7,889",4.3,"182,112","173,090","9,022",5,"181,174","171,643","9,531",5.3,"185,731","176,064","9,667",5.2,"190,594","181,400","9,194",4.8,"189,922","180,838","9,084",4.8,"191,162","182,117","9,045",4.7,"191,923","182,801","9,122",4.8,"189,945","177,280","12,665",6.7,"189,065","175,256","13,809",7.3,"189,816","175,617","14,199",7.5,"188,257","175,325","12,932",6.9,"186,520","174,354","12,166",6.5,"184,355","174,206","10,149",5.5,"185,721","177,247","8,474",5,"186,810","180,191","6,619",3.5,"188,293","181,884","6,409",3.4,"188,642","182,165","6,477",3.4,"190,248","183,776","6,472",3.4,"49,957",106.1
6000,CA,California,,"16,867,808","16,033,179","834,629",4.9,"17,128,430","16,197,671","930,759",5.4,"17,257,097","16,108,685","1,148,412",6.7,"17,277,618","16,102,840","1,174,778",6.8,"17,383,631","16,303,996","1,079,635",6.2,"17,530,064","16,582,651","947,413",5.4,"17,654,109","16,789,422","864,687",4.9,"17,893,080","16,931,590","961,490",5.4,"18,178,123","16,854,482","1,323,641",7.3,"18,215,140","16,182,572","2,032,568",11.2,"18,336,271","16,091,945","2,244,326",12.2,"18,415,100","16,258,133","2,156,967",11.7,"18,523,793","16,602,672","1,921,121",10.4,"18,624,992","16,958,403","1,666,589",8.9,"18,714,706","17,310,937","1,403,769",7.5,"18,828,763","17,660,651","1,168,112",6,"19,021,176","17,980,080","1,041,096",5.5,"19,176,371","18,257,103","919,268",4.8,"19,280,821","18,460,725","820,096",4.3,"19,411,572","18,627,378","784,194",4,"75,250",100
