id,name,latitude,longitude,2014,2015,2016,2017,2018,2019,2020
1,"Birmingham, AL",33.520661,-86.810356,11,10,10,8,7,5,5.6
2,"Anchorage, AK",61.218056,-149.900284,5.2,5,5.5,5.8,5.4,5.1,6.6
3,"Phoenix, AZ",33.448376,-112.074036,5.8,5,4.6,4.2,4.1,4,5.9
4,"Little Rock, AR",34.746483,-92.289597,5.5,5,3.5,3.4,3.4,3.4,8.4
5,"Los Angeles, CA",34.052235,-118.243683,8.3,7,5.3,4.8,4.6,4.4,16.6
6,"Denver, CO",39.737567,-104.984718,4.8,4,3.1,2.7,3.1,2.7,7
7,"Bridgeport, CT",41.167041,-73.204835,6.2,5,4.9,4.6,4,3.6,8.5
8,"Wilmington, DE",39.745833,-75.546667,5.5,5,4.4,4.4,3.7,3.7,9
9,"District of Columbia, DC",38.895112,-77.036366,7.8,7,6.1,6.1,5.7,5.5,6.9
10,"Jacksonville, FL",30.332184,-81.655651,6.7,6,4.9,4.3,3.7,3.3,5.8
11,"Atlanta, GA",33.748995,-84.387982,7,6,5.4,4.8,4,3.5,6.3
12,"Honolulu, HI",21.306944,-157.858333,4.1,3,2.8,2.3,2.4,2.6,10.6
13,"Boise, ID",43.615019,-116.202314,4.1,4,3.3,2.8,2.5,2.5,4.1
14,"Chicago, IL",41.878114,-87.629798,13,11,11,9,7,7,12.6
15,"Indianapolis, IN",39.768403,-86.158068,6.5,5,4.5,3.7,3.6,3.3,6.5
16,"Des Moines, IA",41.586835,-93.624959,4.2,4,3.5,3.1,2.7,2.8,6.5
17,"Wichita, KS",37.687176,-97.330053,5.4,5,4.7,4.3,3.7,3.5,10.2
18,"Louisville, KY",38.252665,-85.758456,6,5,4.4,4.4,4,4,7.1
19,"New Orleans, LA",29.951066,-90.071532,6.9,7,5.9,5.1,5,4.9,9.7
20,"Portland, ME",43.661471,-70.255326,4.4,3,2.9,2.6,2.6,2.4,6.3
21,"Baltimore, MD",39.290385,-76.612189,8.6,8,6.6,6.3,5.7,5.1,6.8
22,"Boston, MA",42.360083,-71.05888,5.3,4,3.5,3.4,3,2.6,10.8
23,"Detroit, MI",42.331427,-83.045754,9.6,7,6.3,5.6,5.2,5.1,12.9
24,"Minneapolis, MN",44.977753,-93.265011,3.8,3,3.3,3,2.5,2.8,7.9
25,"Jackson, MS",32.298757,-90.18481,7.2,6,5.4,4.9,4.7,5.2,7
26,"Kansas City, MO",39.099727,-94.578567,7.1,6,5.1,4.4,3.7,3.7,7.3
27,"Billings, MT",45.783286,-108.50069,3.7,3,3.6,3.4,3.3,3.2,4.9
28,"Omaha, NE",41.256537,-95.934503,3.6,3,3.3,3.2,3.2,3.3,4.5
29,"Las Vegas, NV",36.169941,-115.13983,8,7,5.8,5.2,4.7,4,15.5
30,"Manchester, NH",42.99564,-71.454789,4.5,4,3,2.9,2.7,2.6,6.4
31,"Newark, NJ",40.735657,-74.172367,8,7,6,5.6,5.1,4.5,10.9
32,"Albuquerque, NM",35.084386,-106.650422,6.2,6,5.7,5.2,4.5,4.4,11.2
33,"New York City, NY",40.712784,-74.005941,37,30,27,24,22,20,14
34,"Charlotte, NC",35.227087,-80.843127,6,5,4.7,4.3,3.8,3.6,7.2
35,"Fargo, ND",46.877186,-96.789803,2.4,2,2.2,2.1,2.3,2,3.9
36,"Columbus, OH",39.961176,-82.998794,4.9,4,4.1,4.1,3.8,3.5,8.3
37,"Oklahoma City, OK",35.46756,-97.516428,4.2,4,4.3,4,3.3,3.1,5.5
38,"Portland, OR",45.523452,-122.676207,5.9,5,4.2,3.6,3.6,3.3,8.4
39,"Philadelphia, PA",39.952584,-75.165222,8.1,7,6.7,6.2,5.5,5.5,14.1
40,"Providence, RI",36.311004,-94.127431,8.1,6,5.5,4.7,4.3,3.9,12.6
41,"Charleston, SC",32.776475,-79.931051,5.2,5,4.1,3.5,2.8,2.3,6.8
42,"Sioux Falls, SD",43.547303,-96.728333,3,3,2.6,2.8,2.7,2.9,4.2
43,"Nashville, TN",36.162664,-86.781602,5,4,3.6,2.8,2.7,2.5,8.3
44,"Houston, TX",29.760427,-95.369803,5,5,5.3,5.1,4.4,3.8,8.1
45,"Salt Lake City, UT",40.760779,-111.891047,3.7,3,3.2,3.1,2.9,2.5,4.7
46,"Burlington, VT",44.475883,-73.212072,3,3,2.5,2.2,2,1.8,4.3
47,"Virginia Beach, VA",36.852926,-75.977985,4.9,4,4,3.5,2.9,2.7,7.4
48,"Seattle, WA",47.60621,-122.332071,4.7,4,3.8,3.5,3.2,2.8,7.4
49,"Charleston, WV",38.34982,-81.632623,5.9,6,5.5,5.1,5.1,4.6,9.9
50,"Milwaukee, WI",43.038903,-87.906474,6.9,6,5,4,3.6,4,7.4
51,"Cheyenne, WY",41.139981,-104.820246,4.3,4,4.2,3.6,3.7,3.5,5.1
52,"San Juan, PR",18.466334,-66.105722,8.1,8,7.9,7,6.2,5.5,8.3
