id,name,latitude,longitude,2010,2012,2014,2016,2018,2019,2020
1,"Birmingham, AL",33.520661,-86.810356,"52,965","37,742","32,009","29,420","19,088","15,016","31,017"
2,"Anchorage, AK",61.218056,-149.900284,"14,380","12,272","11,843","12,450","11,612","10,662","12,225"
3,"Phoenix, AZ",33.448376,-112.074036,"199,290","150,728","124,630","103,851","98,992","102,018","141,735"
4,"Little Rock, AR",34.746483,-92.289597,"24,877","23,284","18,494","12,286","11,757","11,562","29,400"
5,"Los Angeles, CA",34.052235,-118.243683,"615,101","536,871","412,299","264,609","235,195","227,288","818,251"
6,"Denver, CO",39.737567,-104.984718,"123,630","112,015","71,613","47,564","49,702","44,452","117,936"
7,"Bridgeport, CT",41.167041,-73.204835,"40,285","36,846","29,636","23,454","19,187","17,453","38,196"
8,"Wilmington, DE",39.745833,-75.546667,"31,122","27,615","21,685","17,683","14,886","14,587","34,947"
9,"District of Columbia, DC",38.895112,-77.036366,"161,399","151,775","135,821","106,171","91,936","86,813","188,107"
10,"Jacksonville, FL",30.332184,-81.655651,"74,912","57,720","44,622","34,037","26,784","24,379","44,948"
11,"Atlanta, GA",33.748995,-84.387982,"280,007","245,528","188,394","150,406","115,679","100,428","187,152"
12,"Honolulu, HI",21.306944,-157.858333,"26,560","24,149","18,736","13,009","11,053","11,626","45,634"
13,"Boise, ID",43.615019,-116.202314,"27,312","12,639","8,778","7,428","6,191","6,369","15,719"
14,"Chicago, IL",41.878114,-87.629798,"398,895","351,538","273,423","220,621","148,718","135,581","455,214"
15,"Indianapolis, IN",39.768403,-86.158068,"91,215","77,469","56,721","42,166","34,884","32,316","71,094"
16,"Des Moines, IA",41.586835,-93.624959,"18,708","16,180","13,878","11,477","8,954","9,958","22,537"
17,"Wichita, KS",37.687176,-97.330053,"27,384","20,864","16,228","14,177","11,222","10,696","32,897"
18,"Louisville, KY",38.252665,-85.758456,"62,000","48,996","36,522","27,884","25,943","25,604","47,319"
19,"New Orleans, LA",29.951066,-90.071532,"44,220","40,440","37,932","32,989","27,480","26,751","57,100"
20,"Portland, ME",43.661471,-70.255326,"13,382","12,450","9,131","6,038","5,474","5,088","13,045"
21,"Baltimore, MD",39.290385,-76.612189,"116,058","105,281","87,909","67,843","60,232","55,093","102,664"
22,"Boston, MA",42.360083,-71.05888,"107,673","84,269","75,633","52,047","47,718","41,195","285,575"
23,"Detroit, MI",42.331427,-83.045754,"137,127","103,344","75,790","69,215","53,887","60,180","101,556"
24,"Minneapolis, MN",44.977753,-93.265011,"45,597","34,502","25,421","22,891","17,664","19,676","160,134"
25,"Jackson, MS",32.298757,-90.18481,"23,291","20,837","16,322","13,208","11,350","12,850","18,230"
26,"Kansas City, MO",39.099727,-94.578567,"94,152","69,911","61,593","48,124","37,520","37,109","82,805"
27,"Billings, MT",45.783286,-108.50069,"4,865","3,881","3,181","3,152","2,864","2,812","4,393"
28,"Omaha, NE",41.256537,-95.934503,"23,631","20,846","17,126","15,490","14,671","15,217","22,526"
29,"Las Vegas, NV",36.169941,-115.13983,"135,431","112,499","81,124","61,027","51,401","45,758","170,575"
30,"Manchester, NH",42.99564,-71.454789,"6,849","6,369","4,836","3,277","2,928","6,363","7,681"
31,"Newark, NJ",40.735657,-74.172367,"116,215","114,773","81,497","60,998","50,497","44,715","136,324"
32,"Albuquerque, NM",35.084386,-106.650422,"34,021","29,753","27,274","25,556","19,894","20,046","45,841"
33,"New York City, NY",40.712784,-74.005941,"632,632","627,843","472,934","348,468","283,669","261,996","980,422"
34,"Charlotte, NC",35.227087,-80.843127,"130,927","108,650","74,407","61,583","49,772","22,786","94,230"
35,"Fargo, ND",46.877186,-96.789803,"5,018","4,318","3,438","3,464","3,327","3,181","5,518"
36,"Columbus, OH",39.961176,-82.998794,"90,418","64,913","50,816","44,407","41,863","39,116","91,000"
37,"Oklahoma City, OK",35.46756,-97.516428,"36,554","29,236","26,002","27,930","21,537","20,814","37,896"
38,"Portland, OR",45.523452,-122.676207,"123,713","95,636","73,586","58,521","50,188","47,037","110,462"
39,"Philadelphia, PA",39.952584,-75.165222,"95,636","98,367","71,964","61,751","50,691","52,198","144,848"
40,"Providence, RI",36.311004,-94.127431,"76,695","68,210","51,354","34,537","27,598","24,736","85,378"
41,"Charleston, SC",32.776475,-79.931051,"30,265","26,094",19516,"16,120","11,282","9,483","27,390"
42,"Sioux Falls, SD",43.547303,-96.728333,"6,347","5,185","4,084","3,644","3,962","4,358","6,559"
43,"Nashville, TN",36.162664,-86.781602,"75,866","58,052","47,505","36,310","28,891","28,582","90,660"
44,"Houston, TX",29.760427,-95.369803,"245,481","205,441","160,374","173,728","145,524","130,043","282,337"
45,"Salt Lake City, UT",40.760779,-111.891047,"44,360","30,893","22,594","20,293","19,342","16,951","31,656"
46,"Burlington, VT",44.475883,-73.212072,"6,182","4,862","3,967","3,242","2,592","2,381","5,083"
47,"Virginia Beach, VA",36.852926,-75.977985,"63,270","56,908","47,968","39,010","28,261","26,607","63,192"
48,"Seattle, WA",47.60621,-122.332071,"141,024","99,735","74,994","64,196","54,989","49,205","127,701"
49,"Charleston, WV",38.34982,-81.632623,"8,131","7,386","6,370","5,729","4,929","4,468","9,132"
50,"Milwaukee, WI",43.038903,-87.906474,"73,100","60,779","48,064","35,675","26,152","28,854","60,850"
51,"Cheyenne, WY",41.139981,-104.820246,"3,090","2,744","2,105","2,032","1,793","1,678","2,498"
52,"San Juan, PR",18.466334,-66.105722,"123,559","99,540","87,756","74,414","56,413","49,702","59,237"
