id,name,latitude,longitude,2015,2016,2017,2018,2019,2020
1,"Sacramento, CA",38.5667,-121.4683,41282,"37,619","32,755","27,409","26,616","65,558"
2,"San Francisco, CA",37.7562,-122.443,19845,"18,344","16,613","13,699","12,970","43,525"
3,"San Diego, CA",32.8312,-117.1225,81108,"74,103","63,640","53,393","51,777","141,814"
4,"Los Angeles, CA",34.1139,-118.4068,"329,585","264,609","242,150","235,195","227,288","629,811"
5,"Phoenix, AZ",33.5722,-112.0891,"103,513","94,806","89,274","90,142","92,847","141,735"
6,"Tucson, AZ",32.1545,-110.8782,25727,"23,757","21,767","21,515","22,627","38,308"
7,"Carson City, NV",39.1512,-119.7474,1793,"1,512","1,272","1,172","1,047","2,143"
9,"Las Vegas, NV",36.2333,-115.2654,"70,527","61,027","55,935","51,401","45,758","170,575"
8,"Reno, NV",39.5497,-119.8483,14113,"11,574","9,884","8,738","8,387","19,734"
10,"Logan, UT",41.74,-111.8419,1794,"1,808","1,674","1,593","1,360","1,910"
11,"Provo, UT",40.2457,-111.6457,8453,"8,340","8,218","7,987","7,203","11,774"
12,"Ogden, UT",41.2278,-111.9682,4682,"4,457","4,361","4,097","3,678","6,210"
13,"Salt Lake City, UT",40.7777,-111.9306,"19,855","19,122","19,150","18,235","15,974","31,656"
14,"Albuquerque, NM",35.1053,-106.6464,"18,920","18,759","17,087","14,646","14,817","45,841"
16,"Las Cruces, NM",32.3265,-106.7892,7027,"6,980","6,492","5,526","5,792","8,073"
15,"Santa Fe, NM",35.6619,-105.9819,3987,"3,962","3,724","3,092","3,089","5,891"
17,"Boulder, CO",40.0249,-105.2523,5403,"4,615","4,175","5,063","4,406","11,887"
18,"Denver, CO",39.7621,-104.8759,"13,941","11,948","10,849","12,568","11,348","34,900"
19,"Colorado Springs, CO",38.8674,-104.7606,13607,"11,298","9,881","12,188","10,784","25,036"
21,"Dallas, TX",32.7936,-96.7662,54508,"52,320","52,373","51,028","47,077","103,841"
22,"Houston, TX",29.7863,-95.3889,"103,535","119,667","114,764","100,021","88,643","282,337"
20,"San Antonio, TX",29.4658,-98.5253,33768,"33,991","32,927","31,527","29,697","71,110"
23,"Oklahoma City, OK",35.4676,-97.5136,"14,795","16,068","15,023","12,766","12,099","37,896"
24,"Tulsa, OK",36.1284,-95.9042,12831,"14,311","12,901","10,343","9,695","21,282"
